Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2023-03-01 21:34 UTC,N/A,false,N/A,
Excel: Sales Forecasting,"Creating accurate and reliable sales forecasts is essential for any sales leader. Professor Michael McDonald shows how to use Excel to forecast sales more effectively, beginning with a quick primer on sales forecasting, then explaining the business intelligence used in forecasting and the basics of regression analysis. Next, Michael shows how to use Excel to gather the necessary data for your forecast, how to cleanse data so that it will lead to more accurate forecasts, and how to interpret and explain the results of a regression forecast. The course concludes with a sample project, forecasting sales for a fictional restaurant. In this sample project, you’ll construct a data set, compute a simple set of forecast metrics, and construct an in-depth sales forecast. Finally, Michael explains the limitations of sales forecasting and how you can mitigate risk.",Course,2021-02-26 08:58 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2021-06-11 10:25 UTC,N/A,false,N/A,
Cert Prep: LEED Green Associate,"Are you both passionate and  knowledgeable about the latest green building principles and practices? If so, earning the LEED Green Associate credential can help you advance your career by demonstrating your expertise in sustainable design, construction, and building operations. In this course, instructor Fulya Kocak Gin gives you an overview of what to expect on the LEED Green Associate exam and provides background on the key topics and concepts you need to know. Fulya covers alternative transportation options, sustainable site strategies, ways to reduce energy and water use, renewable energy solutions, enhanced indoor air strategies, and much more. Plus, she includes a practice exam so you can solidify your understanding of the concepts covered in this course.",Course,2021-09-26 19:33 UTC,N/A,false,N/A,
Six Sigma: White Belt,"Six Sigma is a highly effective and easy-to-use approach to quality improvement. If you’re looking to learn more about the basics, why not consider getting a white belt to boost your skills? In this course, instructor Tina Agustiady shows you the fundamental principles of using Lean Six Sigma to manage projects like a pro.<br><br>Explore the core components of Lean Six Sigma to drive continuous and meaningful team-based improvement. Find out how to implement the Six Sigma phased approach, which guides you through defining, measuring, analyzing, improving, and controlling a project. Along the way, Tina walks you through some other concepts in Lean Six Sigma methodology, including voice of the customer (VOC), root cause analysis (RCA), fishbone diagrams, visual management systems, and how to complete a successful plan-do-check-act (PDCA) cycle.",Course,2023-04-16 20:11 UTC,N/A,false,N/A,
Teamwork Essentials: Stand Out as a Valuable Team Member,"When you think of all the skills you could work on to advance your career, how often do you think about being a valuable team member? Almost never? In reality, working well with a team involves more than just a frame of mind, it takes a specific set of skills. In this course, leadership strategist Shadé Zahrai teaches you effective strategies to not only be a great teammate, but also how to develop skills while working with teams that will strengthen your reputation within your organization. She first shows you how to identify your own style of engaging with others, then how to use that information to cultivate strong relationships on the teams that you’re on by elevating the work of your teammates and nurturing trust. Shadé explains ways to build culture on the teams by fostering collaboration, navigating conflict, and creating an environment of psychological safety. Finally, learn techniques to develop strategic thinking skills that will serve your teams and help you solve problems.",Course,2023-05-13 04:24 UTC,N/A,false,N/A,
Personal Productivity for Product Managers,"Personal productivity is crucial for busy product managers. In this course, LinkedIn PM Shyvee Shi helps you increase your own productivity in a mindful way and expands your capacity to lead. Shyvee discusses the goals of personal productivity and shows you five principles for mastering productivity. She explains how to build your own system to capture and organize information, as well as how to maintain a not-to-do list. Shyvee covers the importance of resting, recharging, and taking back control of your calendar, then dives into fighting procrastination. She walks you through how to run effective meetings, say a positive no, and move from doing to leading. Productivity is a lifelong commitment, and Shyvee helps you start finding what works for you!",Course,2022-07-31 18:45 UTC,N/A,false,N/A,
Excel 2016: Advanced Formulas and Functions,"Excel expert Dennis Taylor demystifies some of the most useful of the 450+ formulas and functions in Excel and shows how to put them to their best use. Dennis starts with a review of the more basic functions (SUM, AVERAGE, and MAX), and a few critical keyboard shortcuts that will let you locate and display formula cells and accelerate working with Excel formulas—even on multiple sheets. He then covers how to find and retrieve data with the VLOOKUP and INDEX functions, calculate totals with counting and statistical functions, extract data with text functions, and work with date, time, array, math and information functions. The course focuses on practical examples that will help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios.",Course,2018-12-18 03:01 UTC,N/A,false,N/A,
Executive Presence: Tips for Women,"Most aspiring leaders know they need executive presence: the ability to project authority, confidence, and authenticity. Yet presence can be hard to establish, especially for women. This course can help aspiring female executives build and sustain their executive presence. Focusing on three executive presence filters—self-confidence (how you act), self-expression (how you talk), and self-presentation (how you look)—participants practice owning their power and making their credibility known. You can get tips to strengthen your ability to command a room, sell your ideas, and connect with others. Women’s leadership expert Selena Rezvani grounds each lesson in real-world examples, giving female leaders a playbook to make their presence felt in any situation.",Course,2021-12-01 08:22 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:713379,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:713379,Course,2018-09-01 23:41 UTC,N/A,false,N/A,
Scrum: The Basics,"<p>If you've spent any time in the project management world, you've likely heard of scrum—the popular framework for managing complex processes. If this mysterious-sounding framework has piqued your interest, this course can help provide you with a basic understanding of what scrum is and how you can start implementing it at work. Follow scrum expert Kelley O'Connell as she walks through why scrum has taken the business world by storm, and how it asks you to organize your team and work. Plus, she explains how to manage your projects and measure how they're faring, and set manageable improvement goals.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-agile-project-management-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2021-04-19 15:25 UTC,N/A,false,N/A,
How to Stop Being Busy and Start Being Strategic,"<p>You will never finish your infinite task list–no matter how much more efficient you become. Whenever we finish one task, there’s always another waiting. So, delivering truly valuable results requires rising above day-to-day efforts to tackle strategic initiatives. In this audio-only course, Richard Medcalf argues that strategic time is the top predictor of career advancement–and reveals how to find more of that time.</p><p>

Richard is a seasoned executive coach and author of <i>Making TIME for Strategy: How to be Less Busy and More Successful</i>. Prior to coaching he was the youngest-ever partner at a premier strategy consulting firm.</p><p>

Richard identifies four opportunity areas to find more strategic time: tactics, influence, mindset, and environment. Plus, learn how to identify your highest contributions for breakthrough results in half the time.</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2024-09-16 05:47 UTC,N/A,false,N/A,
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2022-12-18 22:04 UTC,N/A,false,N/A,
SEO: Keyword Strategy (2020),"Formulating a keyword strategy is one of the most important activities in marketing. Properly optimizing a website and strategically using keywords can yield visitors for years. Digital marketing expert Matt Bailey begins with the basics, covering what keywords are and what they do. Next, learn about how to find and analyze the right keywords for your business and implement them into different channels. Matt covers all the important components of choosing keywords including how to determine customer intent, identify trends, develop analytics, utilize negative keywords, and focus on what works. Finally, learn about how to measure the results, understand rankings, and establish priorities.",Course,2020-09-27 15:04 UTC,N/A,false,N/A,
Time Management for Marketers,"Time management is a valuable skill for professionals in any industry—but it's particularly crucial for marketers, who must make deadlines while grappling with campaign changes and other interruptions. In this course, join instructor Ian Lurie as he shares how marketers can better manage their time. Ian takes you through using a file and folder structure and breaking down your tasks to improve focus. He also shares popular techniques and software tools that can help you manage your workflow. Upon completing this course, you'll have a set of tools and techniques that can help you save time and work more efficiently.",Course,2021-03-12 19:57 UTC,N/A,false,N/A,
AI Ethics: Disability-Centered Frameworks,"Building disability- and neurodiversity-centered AI systems helps not only the over one billion people with impairments globally, but everyone else, as well. In this course, technology explorer and public voice for the algorithmic spectrum Yonah Welker guides you through disability and AI bias, as well as systems and risks. Learn about disability-centered data, models, knowledge frameworks, and policies. Plus, explore positive ways forward.",Course,2024-12-28 16:30 UTC,N/A,false,N/A,
Create a Go-to-Market Plan (2020),"When you launch a new product or enter a new market, it's crucial to have both a roadmap that sets you up for success and the means to track the growth of your program. In this course, discover how to build and develop a go-to-market (GTM) plan for your next product or service. Join renowned marketing author Deirdre Breakenridge as she takes you through the steps needed to bring your product or service to the world. Deirdre helps you discern whether you need a GTM plan, and shows how to build a product strategy that's tailored to the market and customer base you aim to reach. She shares methods for pricing and promotion, and explains how to drive better channel performance, evaluate KPIs and metrics, and more.",Course,2021-02-16 10:48 UTC,N/A,false,N/A,
Processing: Interactive Data Visualization,"Start communicating ideas and diagramming data in a more interactive way. In this course, author Barton Poulson shows how to read, map, and illustrate data with Processing, an open-source drawing and development environment. On top of a solid introduction to Processing itself, this course investigates methods for obtaining and preparing data, designing for data visualization, and building an interactive experience out of a design. When your visualization is complete, explore the options for sharing your work, whether uploading it to specialized websites, embedding the visualizations in your own web pages, or even creating a desktop or Android app for your work.",Course,2019-12-06 14:52 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2023-06-29 14:14 UTC,N/A,false,N/A,
Design Thinking: Data Intelligence,"Yesterday big data was all the rage; today we have intelligent machines and processes to leverage that data wisely. Learn how modern data intelligence helps designers provide a more personal and human design experience. Randall Elliott, associate director of design technology at <a href=""https://www.frogdesign.com/"" target=""blank"">frog</a>, shows how to use data in creative problem-solving: to generate ideas, create better designs, and connect with users in meaningful ways. He tackles data generated by computers as well as that gathered through interviews and other hands-on means. He shows how to collect, analyze, and visualize the information to help solve your customer's challenges, leveraging intelligent tools and agile processes such as rapid prototyping.",Course,2020-11-05 09:40 UTC,N/A,false,N/A,
Secure Coding in Go,"The Go programming language is growing in popularity. Unfortunately, security issues for Go applications are also on the rise. In this course, learn how to secure your Go application to prevent hackers from stealing data or crashing it. Instructor Miki Tebeka explains why developers should care about security, as well as how to prevent SQL injection attacks, identify places where sensitive data is stored and avoid exposing it to the outside world, write code that protects the integrity of the system, and more. Along the way, he provides challenges that allow you to put your new skills to the test.",Course,2022-12-05 17:32 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-10-28 21:36 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (202-450): 2 Web Services,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, second in the series, focuses on web services. Learn how to install the Apache web server and configure virtual servers in Apache. Find out how to redirect URLs and enable SSL encryption in Apache. Go over what you need to know about installing the Squid proxy server, restricting server access with Squid, and enabling user authentication in Squid. Plus, explore how to implement Nginx as a web server or as a reverse proxy.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-06-03 10:03 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2023-02-21 17:34 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2023-09-05 04:34 UTC,N/A,false,N/A,
Data Science Foundations: Knowledge Graphs,"The term “knowledge graph” describes a semantic search based on the systematic compilation and processing of data and was first coined by Google. Leading internet companies have been using knowledge graphs for several years to present information that is tailored to customers’ needs. You can also use knowledge graphs to map your company’s internal knowledge and improve search results. Knowledge graphs can also improve the results of AI or machine learning systems. In this course, blockchain technology leader Daniel Burgwinkel explains what knowledge graphs are, offers examples and use cases, gives you practical recommendations on how to implement knowledge graphs, and shows you how to build a knowledge base. This course is aimed at data stewards, digital transformation managers, and data scientists who are responsible for data stocks and knowledge management.",Course,2021-12-06 23:22 UTC,N/A,false,N/A,
Advanced Google Analytics,"Unlock the advanced capabilities of Google Analytics and take your skills to the next level. This course takes an in-depth look at Google Analytics, teaching advanced techniques that can help you use this popular and powerful analytics tool to glean better insights. Discover how to create and manage filters, create custom channel groupings, and interact with segments. Plus, find out how to create custom calculated metrics; debug your analytics setup; and more.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-04-27 06:02 UTC,N/A,false,N/A,
Artificial Intelligence and Business Strategy: Case Studies,"You’ve learned the basics of how AI tools can help your company, but how do you go from abstract concepts to practical applications? In this course, instructor Anil Gupta shows you how AI is deployed within six different industry sectors and explains the value it creates for users and companies. He begins with agriculture and the example of Aquabyte helping fish farmers monitor the health of the fish and get real-time guidance on how to care for and manage the fish. For retail, health care, financial services, energy, and the environment, Anil follows the same pattern of presenting a real-life example and showing you how AI is adding functionality, efficiency, and value.",Course,2023-06-14 20:03 UTC,N/A,false,N/A,
Relational Databases Essential Training,"In today’s big-data world, understanding how to model phenomena with a relational database is an invaluable skill. A variety of different users—from government agency employees to gamers—rely on relational databases for everyday operations. In this course, join Adam Wilbert as he covers the fundamentals of the relational model for creating databases of real-world situations. Adam goes over concepts that are applicable to a wide variety of platforms, including SQL Server, Oracle, Access, MySQL, and PostgreSQL. Learn the basics of data storage, review the structure of a data table, and learn how to plan your relational database using an entity-relationship design tool. Plus, explore data integrity and validation, table relationships, writing queries, and more. Code challenges included in the course give you chances to practice what you learn.",Course,2024-09-06 12:13 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,Course,2019-07-15 14:31 UTC,N/A,false,N/A,
Creating Illustrative Design,"Illustrative design involves using an illustrative approach, such as a new brand identity or icon, to solve a design problem. This type of approach can be challenging for designers who aren't illustrators. In this course, designer and illustrator Von Glitschka breaks down the process into beginner-friendly steps. Von explains illustrative design and how it differs from graphic design. He shows you how to prepare by defining your theme, subject matter, and style, then gathering reference material. Von covers several drawing processes, stepping through deductive drawing, thumbnail drawing, rough drawing, and a final refined drawing. He walks you through building and coloring vector art, then concludes with helpful tips on finalizing your designs and presenting them to clients.",Course,2021-09-27 20:44 UTC,N/A,false,N/A,
Miss Excel’s Top Productivity Hacks,"Want to become an Excel power user? Follow along with Excel MVP Kat Norton, a.k.a. Miss Excel, as she introduces you to her favorite productivity hacks for cleaning, analyzing, and formatting data in Excel. These tips and tricks can save you hours each week and help you do more with your data. Kat covers the hottest topics in Excel including the new XLOOKUP function, dropdown menus, Flash Fill, and more.",Course,2023-01-10 16:56 UTC,N/A,false,N/A,
Negotiation Skills,"Negotiation skills aren't just important for the sales professionals among us. With a little practice, anyone can learn the simple rules of negotiation to get a great deal on a new car or house, or achieve greater success at work by getting better deals with suppliers, customers, and even colleagues. In this course, master negotiator Chris Croft walks through all the phases of a negotiation, from deciding to negotiate to closing. Chris discusses how to plan your negotiation and calculate your opening offer. Plus, he takes you through a series of specific negotiation tactics, demonstrates how to come to a win-win situation through the use of trading, and goes into how to close the deal.",Course,2018-08-02 14:57 UTC,N/A,false,N/A,
Introducing Semantic Kernel: Building AI-Based Apps,"<p>The future of AI is finally here, and it’s a gamechanger for software developers. Explore the possibilities of Semantic Kernel (SK), the new face of AI-powered development, packaged in a lightweight, easy-to-use, multilayered software development kit. Get up and running quickly with SK, the latest addition to the Microsoft AI ecosystem that enables developers to integrate LLM AI capabilities easily into their apps.</p><p>Join award-winning designer and engineer, John Maeda, and deputy CTO of Microsoft, Sam Schillace, for an overview of this exciting new release, explore its core functionalities, and find out how to get started. Bonus footage covers a couple of sample apps available in the repo and an interview with Sam to help you get up and running. By the end of this course, you’ll be ready to start tweaking your workflow using AI models to improve your efficiency and speed.</p>",Course,2023-03-24 19:04 UTC,N/A,false,N/A,
