Event Name,Event Time,Status,External Url
Makers & Movers Global Transportation - Access and Cost,"May 12, 2021 07:00 AM - May 12, 2021 11:00 AM",RELINQUISHED,https://globalmakersmovers.hubilo.com/community/#/login
 Free Webinar: Praktische Tipps für den Einkauf in Krisenzeiten ,"Oct 27, 2022 02:30 PM - Oct 27, 2022 03:45 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_nlXvkDPLR66qI7DdYi5oPw
Episode 82: Shaping the future ,"Nov 16, 2021 07:27 AM - Nov 16, 2021 07:57 AM",APPROVED,
Harness the Power of a Positive Mission,"May 26, 2021 02:00 PM - May 26, 2021 03:00 PM",RELINQUISHED,
AI for Sustainability Connect Program,"Sep 13, 2023 12:00 PM - Sep 13, 2023 01:00 PM",APPROVED,https://www.eventbrite.com/e/pre-launch-event-ai-for-sustainability-connect-program-tickets-698836778617?aff=oddtdtcreator&lang=en-us&status=30&locale=en_US&keep_tld=1&view=listing
How to ENJOY writing an International Best-Selling Book - Three Challenges ,"Jan 10, 2024 02:00 PM - Jan 10, 2024 03:00 PM",RELINQUISHED,
Procurement Summit 2024,"Jun 12, 2024 06:30 AM - Jun 13, 2024 05:00 PM",RELINQUISHED,https://procurementsummit.de/
Free Webinar: 5 Neuro-Tipps für die Lead-Generierung im Marketing,"May 03, 2023 03:00 PM - May 03, 2023 04:00 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_CpSQL5DUTyusM6yWSEiNdg
Episode 98: Product-Market Fit,"Mar 22, 2022 07:27 AM - Mar 22, 2022 07:57 AM",RELINQUISHED,https://zoom.us/j/361674887
ProductBeats Show - Get the MEGADEALS,"May 04, 2021 06:27 AM - May 04, 2021 06:57 AM",RELINQUISHED,
Episode 161: Discovering the Secret Sauce of Agile w/ Anthony Marter,"Jul 04, 2023 06:27 AM - Jul 04, 2023 06:57 AM",RELINQUISHED,https://content.productbeats.com/show-registration/
Breaking the Product Code: Acing the PM Careers & Getting Ahead of AI,"Jul 28, 2023 04:00 PM - Jul 28, 2023 04:30 PM",APPROVED,
Berlin Product Meetup,"Jul 02, 2024 03:30 PM - Jul 02, 2024 07:30 PM",RELINQUISHED,https://lu.ma/wtvunm9s
Visualize IT: Why PMs should draw more & how to sketch meetings/roadmaps,"May 11, 2022 03:00 PM - May 11, 2022 04:30 PM",APPROVED,https://forms.office.com/r/gWXTNRJB40
Umzug ins Colocation-Rechenzentrum - Vorteile & Ablauf,"Mar 19, 2025 01:30 PM - Mar 19, 2025 02:00 PM",RELINQUISHED,https://portal.silicon-valley-europe.com/#Task61Place::::147:Vortrag:6530:/
HBS OPM ClubHouse 21st Meeting: FAMILY BUSINESS  WITH * JOHN DAVIS,"Oct 02, 2021 03:00 PM - Oct 02, 2021 04:00 PM",APPROVED,https://www.clubhouse.com/join/opm-hbs/pN7SWcMO/xBXjbBY2
LLM Meetup: Practical use cases,"Sep 05, 2024 03:45 PM - Sep 05, 2024 07:30 PM",RELINQUISHED,https://lu.ma/sakz1lmv
Apparel Sourcing  Paris,"Feb 05, 2024 11:00 AM - Feb 07, 2024 12:00 PM",RELINQUISHED,
The Potential of RAG: A Breakfast to Explore RAG in GenAI,"Apr 10, 2024 07:00 AM - Apr 10, 2024 09:00 AM",APPROVED,
Free Webinar: Neuro-Procurement | Neuro- & Psycholog. Tipps für den Einkauf,"Aug 30, 2022 02:30 PM - Aug 30, 2022 03:30 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN__KsOLcOARquSYEHdGfCnYQ
Emerge as a Product Leader: Gain Recognition,"Mar 07, 2024 11:00 AM - Mar 07, 2024 11:50 AM",RELINQUISHED,https://us06web.zoom.us/j/84748388576
Product Management Festival Europe 2021,"Nov 10, 2021 07:00 AM - Nov 11, 2021 05:00 PM",APPROVED,https://productmanagementfestival.com/tickets/
